UDA,p,c,0.8,0.733333333,0.019955506
PseudoLabel,p,c,0.8,0.725333333,0.01675974
ICT,p,c,0.8,0.721333333,0.01798765
FixMatch,p,c,0.8,0.716,0.008640988
FlexMatch,p,c,0.8,0.712,0.014236104
Supervised,p,c,1,0.724,0.021416505
PiModel,p,c,1,0.722666667,0.021249837
UDA,p,c,1,0.738666667,0.013199327
PseudoLabel,p,c,1,0.730666667,0.015434449
ICT,p,c,1,0.728,0.018184242
FixMatch,p,c,1,0.610666667,0.171870752
FlexMatch,p,c,1,0.712,0.008640988
Supervised,p,i,0,0.732,0.017281975
PiModel,p,i,0,0.724,0.019595918
UDA,p,i,0,0.728,0.022861904
PseudoLabel,p,i,0,0.724,0.021416505
ICT,p,i,0,0.726666667,0.01798765
FixMatch,p,i,0,0.713333333,0.003771236
FlexMatch,p,i,0,0.718666667,0.01675974
Supervised,p,i,0.2,0.726666667,0.020997354
PiModel,p,i,0.2,0.722666667,0.021249837
UDA,p,i,0.2,0.714666667,0.026599916
PseudoLabel,p,i,0.2,0.725333333,0.021249837
ICT,p,i,0.2,0.728,0.020396078
FixMatch,p,i,0.2,0.717333333,0.024944383
FlexMatch,p,i,0.2,0.714666667,0.031382939
Supervised,p,i,0.4,0.728,0.024657656
PiModel,p,i,0.4,0.724,0.019595918
UDA,p,i,0.4,0.718666667,0.02407396
PseudoLabel,p,i,0.4,0.722666667,0.021746009
ICT,p,i,0.4,0.728,0.017281975
FixMatch,p,i,0.4,0.717333333,0.001885618
FlexMatch,p,i,0.4,0.714666667,0.008219219
Supervised,p,i,0.6,0.729333333,0.021746009
PiModel,p,i,0.6,0.722666667,0.021249837
UDA,p,i,0.6,0.72,0.028472209
PseudoLabel,p,i,0.6,0.724,0.018184242
ICT,p,i,0.6,0.728,0.020396078
FixMatch,p,i,0.6,0.721333333,0.006798693
FlexMatch,p,i,0.6,0.722666667,0.007542472
Supervised,p,i,0.8,0.72,0.016329932
PiModel,p,i,0.8,0.724,0.019595918
UDA,p,i,0.8,0.725333333,0.018856181
PseudoLabel,p,i,0.8,0.721333333,0.022231109
ICT,p,i,0.8,0.724,0.013063945
FixMatch,p,i,0.8,0.714666667,0.009977753
FlexMatch,p,i,0.8,0.708,0.005656854
Supervised,p,i,1,0.722666667,0.019955506
PiModel,p,i,1,0.725333333,0.01798765
UDA,p,i,1,0.726666667,0.015434449
PseudoLabel,p,i,1,0.724,0.023551362
ICT,p,i,1,0.728,0.016329932
FixMatch,p,i,1,0.718666667,0.013597385
FlexMatch,p,i,1,0.718666667,0.012364825
Supervised,c,i,0,0.945333333,0.015434449
PiModel,c,i,0,0.945333333,0.01798765
UDA,c,i,0,0.942666667,0.013199327
PseudoLabel,c,i,0,0.949333333,0.015084945
ICT,c,i,0,0.945333333,0.015434449
FixMatch,c,i,0,0.957333333,0.013199327
FlexMatch,c,i,0,0.965333333,0.007542472
Supervised,c,i,0.2,0.949333333,0.006798693
PiModel,c,i,0.2,0.950666667,0.008219219
UDA,c,i,0.2,0.950666667,0.009977753
